0.00.315.731 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.318.358 I srv    load_model: loading model '/home/quinna/models/Ornith-1.0-35B-GGUF/ornith-1.0-35b-Q4_K_M.gguf'
0.12.069.506 I srv    load_model: initializing, n_slots = 4, n_ctx_slot = 131072, kv_unified = 'true'
0.12.086.387 I srv          init: chat template supports preserving reasoning, consider enabling it via --reasoning-preserve
0.12.086.426 I srv  llama_server: model loaded
0.12.086.430 I srv  llama_server: listening on http://127.0.0.1:8091
1.52.437.259 I slot get_availabl: id  3 | task -1 | selected slot by LRU, t_last = -1
18.29.728.373 I slot print_timing: id  3 | task 47575 |        eval time =   14840.37 ms /  1009 tokens (   14.71 ms per token,    67.99 tokens per second)
18.29.728.374 I slot print_timing: id  3 | task 47575 |       total time =   15184.60 ms /  1404 tokens
18.29.728.375 I slot print_timing: id  3 | task 47575 |    graphs reused =      48197
18.29.728.882 I slot      release: id  3 | task 47575 | stop processing: n_tokens = 25388, truncated = 0
18.29.800.783 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, sim_best = 0.988 (> 0.100 thold), f_keep = 0.960
18.29.801.101 I slot launch_slot_: id  3 | task 48587 | processing task, is_child = 0
18.33.127.004 I slot print_timing: id  3 | task 48587 | n_decoded =    200, tg =  66.45 t/s, tg_3s =  66.45 t/s
18.36.132.075 I slot print_timing: id  3 | task 48587 | n_decoded =    400, tg =  66.50 t/s, tg_3s =  66.55 t/s
18.39.133.966 I slot print_timing: id  3 | task 48587 | n_decoded =    606, tg =  67.21 t/s, tg_3s =  68.62 t/s
18.42.147.097 I slot print_timing: id  3 | task 48587 | n_decoded =    805, tg =  66.92 t/s, tg_3s =  66.04 t/s
18.45.156.071 I slot print_timing: id  3 | task 48587 | n_decoded =   1004, tg =  66.76 t/s, tg_3s =  66.14 t/s
18.47.492.255 I slot print_timing: id  3 | task 48587 | prompt eval time =     315.98 ms /   342 tokens (    0.92 ms per token,  1082.35 tokens per second)
18.47.492.258 I slot print_timing: id  3 | task 48587 |        eval time =   17374.98 ms /  1163 tokens (   14.94 ms per token,    66.94 tokens per second)
18.47.492.259 I slot print_timing: id  3 | task 48587 |       total time =   17690.95 ms /  1505 tokens
18.47.492.260 I slot print_timing: id  3 | task 48587 |    graphs reused =      49354
18.47.492.760 I slot      release: id  3 | task 48587 | stop processing: n_tokens = 25848, truncated = 0
18.47.633.501 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, sim_best = 0.994 (> 0.100 thold), f_keep = 0.955
18.47.633.871 I slot launch_slot_: id  3 | task 49753 | processing task, is_child = 0
18.50.892.226 I slot print_timing: id  3 | task 49753 | n_decoded =    208, tg =  69.13 t/s, tg_3s =  69.13 t/s
18.51.538.146 I slot print_timing: id  3 | task 49753 | prompt eval time =     249.51 ms /   192 tokens (    1.30 ms per token,   769.50 tokens per second)
18.51.538.149 I slot print_timing: id  3 | task 49753 |        eval time =    3654.55 ms /   252 tokens (   14.50 ms per token,    68.96 tokens per second)
18.51.538.149 I slot print_timing: id  3 | task 49753 |       total time =    3904.06 ms /   444 tokens
18.51.538.151 I slot print_timing: id  3 | task 49753 |    graphs reused =      49603
18.51.538.660 I slot      release: id  3 | task 49753 | stop processing: n_tokens = 25093, truncated = 0
18.51.610.988 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, sim_best = 0.996 (> 0.100 thold), f_keep = 0.990
18.51.611.344 I slot launch_slot_: id  3 | task 50008 | processing task, is_child = 0
18.54.875.640 I slot print_timing: id  3 | task 50008 | n_decoded =    202, tg =  67.30 t/s, tg_3s =  67.30 t/s
18.57.888.818 I slot print_timing: id  3 | task 50008 | n_decoded =    404, tg =  67.17 t/s, tg_3s =  67.04 t/s
19.00.163.114 I slot print_timing: id  3 | task 50008 | prompt eval time =     262.63 ms /   137 tokens (    1.92 ms per token,   521.64 tokens per second)
19.00.163.117 I slot print_timing: id  3 | task 50008 |        eval time =    8288.93 ms /   556 tokens (   14.91 ms per token,    67.08 tokens per second)
19.00.163.117 I slot print_timing: id  3 | task 50008 |       total time =    8551.57 ms /   693 tokens
19.00.163.118 I slot print_timing: id  3 | task 50008 |    graphs reused =      50155
19.00.163.655 I slot      release: id  3 | task 50008 | stop processing: n_tokens = 25508, truncated = 0
19.00.237.371 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, sim_best = 0.953 (> 0.100 thold), f_keep = 0.978
19.00.237.736 I slot launch_slot_: id  3 | task 50567 | processing task, is_child = 0
19.04.138.138 I slot print_timing: id  3 | task 50567 | n_decoded =    207, tg =  68.89 t/s, tg_3s =  68.89 t/s
19.07.151.918 I slot print_timing: id  3 | task 50567 | n_decoded =    414, tg =  68.78 t/s, tg_3s =  68.68 t/s
19.07.254.049 I slot print_timing: id  3 | task 50567 | prompt eval time =     895.21 ms /  1271 tokens (    0.70 ms per token,  1419.78 tokens per second)
19.07.254.051 I slot print_timing: id  3 | task 50567 |        eval time =    6120.90 ms /   421 tokens (   14.54 ms per token,    68.78 tokens per second)
19.07.254.052 I slot print_timing: id  3 | task 50567 |       total time =    7016.10 ms /  1692 tokens
19.07.254.053 I slot print_timing: id  3 | task 50567 |    graphs reused =      50573
19.07.254.570 I slot      release: id  3 | task 50567 | stop processing: n_tokens = 26607, truncated = 0
19.07.305.526 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, sim_best = 0.993 (> 0.100 thold), f_keep = 0.984
19.07.305.848 I slot launch_slot_: id  3 | task 50992 | processing task, is_child = 0
19.11.173.661 I slot print_timing: id  3 | task 50992 | n_decoded =    207, tg =  69.00 t/s, tg_3s =  69.00 t/s
19.14.184.319 I slot print_timing: id  3 | task 50992 | n_decoded =    414, tg =  68.88 t/s, tg_3s =  68.76 t/s
19.17.196.961 I slot print_timing: id  3 | task 50992 | n_decoded =    621, tg =  68.82 t/s, tg_3s =  68.71 t/s
19.20.201.551 I slot print_timing: id  3 | task 50992 | n_decoded =    827, tg =  68.76 t/s, tg_3s =  68.56 t/s
19.23.211.589 I slot print_timing: id  3 | task 50992 | n_decoded =   1033, tg =  68.69 t/s, tg_3s =  68.44 t/s
19.26.217.003 I slot print_timing: id  3 | task 50992 | n_decoded =   1239, tg =  68.67 t/s, tg_3s =  68.54 t/s
19.29.222.082 I slot print_timing: id  3 | task 50992 | n_decoded =   1444, tg =  68.60 t/s, tg_3s =  68.22 t/s
19.32.229.409 I slot print_timing: id  3 | task 50992 | n_decoded =   1649, tg =  68.55 t/s, tg_3s =  68.17 t/s
19.35.241.054 I slot print_timing: id  3 | task 50992 | n_decoded =   1854, tg =  68.50 t/s, tg_3s =  68.07 t/s
19.38.255.794 I slot print_timing: id  3 | task 50992 | n_decoded =   2059, tg =  68.45 t/s, tg_3s =  68.00 t/s
19.39.322.357 I slot print_timing: id  3 | task 50992 | prompt eval time =     867.41 ms /  1342 tokens (    0.65 ms per token,  1547.13 tokens per second)
19.39.322.360 I slot print_timing: id  3 | task 50992 |        eval time =   31148.88 ms /  2130 tokens (   14.62 ms per token,    68.38 tokens per second)
19.39.322.361 I slot print_timing: id  3 | task 50992 |       total time =   32016.29 ms /  3472 tokens
19.39.322.362 I slot print_timing: id  3 | task 50992 |    graphs reused =      52693
19.39.322.879 I slot      release: id  3 | task 50992 | stop processing: n_tokens = 28512, truncated = 0
19.39.400.625 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, sim_best = 0.995 (> 0.100 thold), f_keep = 0.925
19.39.401.095 I slot launch_slot_: id  3 | task 53126 | processing task, is_child = 0
19.42.668.647 I slot print_timing: id  3 | task 53126 | n_decoded =    207, tg =  68.82 t/s, tg_3s =  68.82 t/s
19.45.680.277 I slot print_timing: id  3 | task 53126 | n_decoded =    413, tg =  68.61 t/s, tg_3s =  68.40 t/s
19.45.988.398 I slot print_timing: id  3 | task 53126 | prompt eval time =     259.64 ms /   167 tokens (    1.55 ms per token,   643.20 tokens per second)
19.45.988.400 I slot print_timing: id  3 | task 53126 |        eval time =    6327.44 ms /   434 tokens (   14.58 ms per token,    68.59 tokens per second)
19.45.988.401 I slot print_timing: id  3 | task 53126 |       total time =    6587.08 ms /   601 tokens
19.45.988.402 I slot print_timing: id  3 | task 53126 |    graphs reused =      53123
19.45.988.931 I slot      release: id  3 | task 53126 | stop processing: n_tokens = 26947, truncated = 0
19.46.064.688 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, sim_best = 0.998 (> 0.100 thold), f_keep = 0.984
19.46.064.989 I slot launch_slot_: id  3 | task 53563 | processing task, is_child = 0
19.49.144.394 I slot print_timing: id  3 | task 53563 | prompt eval time =     184.24 ms /    83 tokens (    2.22 ms per token,   450.49 tokens per second)
19.49.144.397 I slot print_timing: id  3 | task 53563 |        eval time =    2894.95 ms /   198 tokens (   14.62 ms per token,    68.39 tokens per second)
19.49.144.397 I slot print_timing: id  3 | task 53563 |       total time =    3079.20 ms /   281 tokens
19.49.144.398 I slot print_timing: id  3 | task 53563 |    graphs reused =      53318
19.49.144.907 I slot      release: id  3 | task 53563 | stop processing: n_tokens = 26761, truncated = 0
19.49.225.230 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, sim_best = 0.987 (> 0.100 thold), f_keep = 0.993
19.49.225.564 I slot launch_slot_: id  3 | task 53764 | processing task, is_child = 0
19.51.726.811 I slot print_timing: id  3 | task 53764 | prompt eval time =     360.04 ms /   401 tokens (    0.90 ms per token,  1113.77 tokens per second)
19.51.726.814 I slot print_timing: id  3 | task 53764 |        eval time =    2141.01 ms /   146 tokens (   14.66 ms per token,    68.19 tokens per second)
19.51.726.815 I slot print_timing: id  3 | task 53764 |       total time =    2501.05 ms /   547 tokens
19.51.726.816 I slot print_timing: id  3 | task 53764 |    graphs reused =      53462
19.51.727.330 I slot      release: id  3 | task 53764 | stop processing: n_tokens = 27055, truncated = 0
19.51.809.821 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, sim_best = 0.934 (> 0.100 thold), f_keep = 0.995
19.51.810.150 I slot launch_slot_: id  3 | task 53913 | processing task, is_child = 0
19.56.142.192 I slot print_timing: id  3 | task 53913 | n_decoded =    204, tg =  67.97 t/s, tg_3s =  67.97 t/s
19.59.151.469 I slot print_timing: id  3 | task 53913 | n_decoded =    408, tg =  67.88 t/s, tg_3s =  67.79 t/s
20.02.160.137 I slot print_timing: id  3 | task 53913 | n_decoded =    611, tg =  67.74 t/s, tg_3s =  67.47 t/s
20.05.162.556 I slot print_timing: id  3 | task 53913 | n_decoded =    813, tg =  67.63 t/s, tg_3s =  67.28 t/s
20.08.175.902 I slot print_timing: id  3 | task 53913 | n_decoded =   1016, tg =  67.57 t/s, tg_3s =  67.37 t/s
20.08.886.499 I slot print_timing: id  3 | task 53913 | prompt eval time =    1330.31 ms /  2118 tokens (    0.63 ms per token,  1592.11 tokens per second)
20.08.886.502 I slot print_timing: id  3 | task 53913 |        eval time =   15745.84 ms /  1064 tokens (   14.80 ms per token,    67.57 tokens per second)
20.08.886.502 I slot print_timing: id  3 | task 53913 |       total time =   17076.14 ms /  3182 tokens
20.08.886.504 I slot print_timing: id  3 | task 53913 |    graphs reused =      54520
20.08.887.052 I slot      release: id  3 | task 53913 | stop processing: n_tokens = 29868, truncated = 0
20.08.962.536 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, sim_best = 0.993 (> 0.100 thold), f_keep = 0.964
20.08.962.892 I slot launch_slot_: id  3 | task 54981 | processing task, is_child = 0
20.13.390.791 I slot print_timing: id  3 | task 54981 | n_decoded =    204, tg =  67.96 t/s, tg_3s =  67.96 t/s
20.16.394.250 I slot print_timing: id  3 | task 54981 | n_decoded =    407, tg =  67.77 t/s, tg_3s =  67.59 t/s
20.19.402.236 I slot print_timing: id  3 | task 54981 | n_decoded =    610, tg =  67.68 t/s, tg_3s =  67.49 t/s
20.22.410.229 I slot print_timing: id  3 | task 54981 | n_decoded =    813, tg =  67.63 t/s, tg_3s =  67.49 t/s
20.25.413.417 I slot print_timing: id  3 | task 54981 | n_decoded =   1015, tg =  67.56 t/s, tg_3s =  67.26 t/s
20.28.204.828 I slot print_timing: id  3 | task 54981 | prompt eval time =    1425.98 ms /  1995 tokens (    0.71 ms per token,  1399.03 tokens per second)
20.28.204.831 I slot print_timing: id  3 | task 54981 |        eval time =   17815.74 ms /  1202 tokens (   14.82 ms per token,    67.47 tokens per second)
20.28.204.831 I slot print_timing: id  3 | task 54981 |       total time =   19241.73 ms /  3197 tokens
20.28.204.832 I slot print_timing: id  3 | task 54981 |    graphs reused =      55716
20.28.205.352 I slot      release: id  3 | task 54981 | stop processing: n_tokens = 30200, truncated = 0
20.28.263.680 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, sim_best = 0.990 (> 0.100 thold), f_keep = 0.960
20.28.263.998 I slot launch_slot_: id  3 | task 56187 | processing task, is_child = 0
20.30.852.357 I slot print_timing: id  3 | task 56187 | prompt eval time =     343.12 ms /   338 tokens (    1.02 ms per token,   985.07 tokens per second)
20.30.852.360 I slot print_timing: id  3 | task 56187 |        eval time =    2245.04 ms /   152 tokens (   14.77 ms per token,    67.70 tokens per second)
20.30.852.361 I slot print_timing: id  3 | task 56187 |       total time =    2588.16 ms /   490 tokens
20.30.852.362 I slot print_timing: id  3 | task 56187 |    graphs reused =      55865
20.30.852.932 I slot      release: id  3 | task 56187 | stop processing: n_tokens = 29453, truncated = 0
20.30.914.747 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, sim_best = 0.875 (> 0.100 thold), f_keep = 0.995
20.30.915.311 I slot launch_slot_: id  3 | task 56342 | processing task, is_child = 0
20.36.546.593 I slot print_timing: id  3 | task 56342 | n_decoded =    199, tg =  66.29 t/s, tg_3s =  66.29 t/s
20.39.554.828 I slot print_timing: id  3 | task 56342 | n_decoded =    397, tg =  66.06 t/s, tg_3s =  65.82 t/s
20.42.561.436 I slot print_timing: id  3 | task 56342 | n_decoded =    594, tg =  65.88 t/s, tg_3s =  65.52 t/s
20.45.570.072 I slot print_timing: id  3 | task 56342 | n_decoded =    791, tg =  65.78 t/s, tg_3s =  65.48 t/s
20.48.584.134 I slot print_timing: id  3 | task 56342 | n_decoded =    988, tg =  65.69 t/s, tg_3s =  65.36 t/s
20.50.279.116 I slot print_timing: id  3 | task 56342 | prompt eval time =    2629.28 ms /  4202 tokens (    0.63 ms per token,  1598.15 tokens per second)
20.50.279.119 I slot print_timing: id  3 | task 56342 |        eval time =   16734.29 ms /  1099 tokens (   15.23 ms per token,    65.67 tokens per second)
20.50.279.120 I slot print_timing: id  3 | task 56342 |       total time =   19363.57 ms /  5301 tokens
20.50.279.121 I slot print_timing: id  3 | task 56342 |    graphs reused =      56957
20.50.279.712 I slot      release: id  3 | task 56342 | stop processing: n_tokens = 34567, truncated = 0
20.50.385.635 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, sim_best = 0.974 (> 0.100 thold), f_keep = 0.968
20.50.385.969 I slot launch_slot_: id  3 | task 57446 | processing task, is_child = 0
20.53.593.754 I slot print_timing: id  3 | task 57446 | prompt processing, n_tokens =   5005, progress = 1.00, t =   3.21 s / 1560.38 tokens per second
20.56.434.940 I slot print_timing: id  3 | task 57446 | prompt eval time =    3262.04 ms /  5009 tokens (    0.65 ms per token,  1535.54 tokens per second)
20.56.434.943 I slot print_timing: id  3 | task 57446 |        eval time =    2786.71 ms /   184 tokens (   15.15 ms per token,    66.03 tokens per second)
20.56.434.944 I slot print_timing: id  3 | task 57446 |       total time =    6048.75 ms /  5193 tokens
20.56.434.945 I slot print_timing: id  3 | task 57446 |    graphs reused =      57139
20.56.435.600 I slot      release: id  3 | task 57446 | stop processing: n_tokens = 34551, truncated = 0
20.56.502.304 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, sim_best = 0.997 (> 0.100 thold), f_keep = 0.995
20.56.502.665 I slot launch_slot_: id  3 | task 57636 | processing task, is_child = 0
20.58.018.129 I slot print_timing: id  3 | task 57636 | prompt eval time =     204.45 ms /   125 tokens (    1.64 ms per token,   611.40 tokens per second)
20.58.018.132 I slot print_timing: id  3 | task 57636 |        eval time =    1310.79 ms /    87 tokens (   15.07 ms per token,    66.37 tokens per second)
20.58.018.132 I slot print_timing: id  3 | task 57636 |       total time =    1515.24 ms /   212 tokens
20.58.018.133 I slot print_timing: id  3 | task 57636 |    graphs reused =      57224
20.58.018.728 I slot      release: id  3 | task 57636 | stop processing: n_tokens = 34544, truncated = 0
20.58.110.084 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, sim_best = 0.979 (> 0.100 thold), f_keep = 0.997
20.58.110.419 I slot launch_slot_: id  3 | task 57726 | processing task, is_child = 0
21.01.763.772 I slot print_timing: id  3 | task 57726 | n_decoded =    196, tg =  65.31 t/s, tg_3s =  65.31 t/s
21.04.770.511 I slot print_timing: id  3 | task 57726 | n_decoded =    392, tg =  65.25 t/s, tg_3s =  65.19 t/s
21.05.445.575 I slot print_timing: id  3 | task 57726 | prompt eval time =     652.28 ms /   777 tokens (    0.84 ms per token,  1191.20 tokens per second)
21.05.445.577 I slot print_timing: id  3 | task 57726 |        eval time =    6682.66 ms /   436 tokens (   15.33 ms per token,    65.24 tokens per second)
21.05.445.578 I slot print_timing: id  3 | task 57726 |       total time =    7334.94 ms /  1213 tokens
21.05.445.579 I slot print_timing: id  3 | task 57726 |    graphs reused =      57656
21.05.446.244 I slot      release: id  3 | task 57726 | stop processing: n_tokens = 35635, truncated = 0
21.05.547.171 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, sim_best = 0.861 (> 0.100 thold), f_keep = 0.988
21.05.547.509 I slot launch_slot_: id  3 | task 58166 | processing task, is_child = 0
21.09.030.938 I slot print_timing: id  3 | task 58166 | prompt processing, n_tokens =   5860, progress = 0.99, t =   3.48 s / 1682.36 tokens per second
21.09.326.255 I slot print_timing: id  3 | task 58166 | prompt processing, n_tokens =   6372, progress = 1.00, t =   3.78 s / 1686.37 tokens per second
21.12.267.361 I slot print_timing: id  3 | task 58166 | prompt eval time =    3933.57 ms /  6376 tokens (    0.62 ms per token,  1620.92 tokens per second)
21.12.267.364 I slot print_timing: id  3 | task 58166 |        eval time =    2786.06 ms /   177 tokens (   15.74 ms per token,    63.53 tokens per second)
21.12.267.364 I slot print_timing: id  3 | task 58166 |       total time =    6719.63 ms /  6553 tokens
21.12.267.366 I slot print_timing: id  3 | task 58166 |    graphs reused =      57830
21.12.268.056 I slot      release: id  3 | task 58166 | stop processing: n_tokens = 41078, truncated = 0
21.12.344.207 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, sim_best = 0.996 (> 0.100 thold), f_keep = 0.996
21.12.344.547 I slot launch_slot_: id  3 | task 58349 | processing task, is_child = 0
21.15.475.375 I slot print_timing: id  3 | task 58349 | prompt processing, n_tokens =   5139, progress = 0.99, t =   3.13 s / 1641.53 tokens per second
21.15.809.384 I slot print_timing: id  3 | task 58349 | prompt processing, n_tokens =   5620, progress = 1.00, t =   3.46 s / 1622.11 tokens per second
21.16.059.520 I slot print_timing: id  3 | task 58349 | prompt processing, n_tokens =   5651, progress = 1.00, t =   3.71 s / 1521.23 tokens per second
21.19.118.024 I slot print_timing: id  3 | task 58349 | n_decoded =    191, tg =  63.58 t/s, tg_3s =  63.58 t/s
21.22.121.285 I slot print_timing: id  3 | task 58349 | n_decoded =    381, tg =  63.42 t/s, tg_3s =  63.26 t/s
21.25.126.958 I slot print_timing: id  3 | task 58349 | n_decoded =    570, tg =  63.24 t/s, tg_3s =  62.88 t/s
21.28.137.224 I slot print_timing: id  3 | task 58349 | n_decoded =    759, tg =  63.13 t/s, tg_3s =  62.79 t/s
21.31.144.473 I slot print_timing: id  3 | task 58349 | n_decoded =    948, tg =  63.07 t/s, tg_3s =  62.85 t/s
21.34.145.558 I slot print_timing: id  3 | task 58349 | n_decoded =   1137, tg =  63.06 t/s, tg_3s =  62.98 t/s
21.37.155.773 I slot print_timing: id  3 | task 58349 | n_decoded =   1326, tg =  63.02 t/s, tg_3s =  62.79 t/s
21.40.169.601 I slot print_timing: id  3 | task 58349 | n_decoded =   1515, tg =  62.98 t/s, tg_3s =  62.71 t/s
21.43.184.475 I slot print_timing: id  3 | task 58349 | n_decoded =   1704, tg =  62.95 t/s, tg_3s =  62.69 t/s
21.46.194.979 I slot print_timing: id  3 | task 58349 | n_decoded =   1893, tg =  62.93 t/s, tg_3s =  62.78 t/s
21.49.208.445 I slot print_timing: id  3 | task 58349 | n_decoded =   2081, tg =  62.88 t/s, tg_3s =  62.39 t/s
21.52.221.188 I slot print_timing: id  3 | task 58349 | n_decoded =   2269, tg =  62.84 t/s, tg_3s =  62.40 t/s
21.55.221.653 I slot print_timing: id  3 | task 58349 | n_decoded =   2456, tg =  62.80 t/s, tg_3s =  62.32 t/s
21.58.226.635 I slot print_timing: id  3 | task 58349 | n_decoded =   2643, tg =  62.76 t/s, tg_3s =  62.23 t/s
22.01.235.549 I slot print_timing: id  3 | task 58349 | n_decoded =   2830, tg =  62.72 t/s, tg_3s =  62.15 t/s
22.04.237.812 I slot print_timing: id  3 | task 58349 | n_decoded =   3016, tg =  62.67 t/s, tg_3s =  61.95 t/s
22.07.249.652 I slot print_timing: id  3 | task 58349 | n_decoded =   3203, tg =  62.64 t/s, tg_3s =  62.09 t/s
22.10.262.420 I slot print_timing: id  3 | task 58349 | n_decoded =   3390, tg =  62.61 t/s, tg_3s =  62.07 t/s
22.13.266.403 I slot print_timing: id  3 | task 58349 | n_decoded =   3576, tg =  62.57 t/s, tg_3s =  61.92 t/s
22.13.427.286 I slot print_timing: id  3 | task 58349 | prompt eval time =    3769.19 ms /  5655 tokens (    0.67 ms per token,  1500.32 tokens per second)
22.13.427.288 I slot print_timing: id  3 | task 58349 |        eval time =   57313.34 ms /  3586 tokens (   15.98 ms per token,    62.57 tokens per second)
22.13.427.289 I slot print_timing: id  3 | task 58349 |       total time =   61082.53 ms /  9241 tokens
22.13.427.290 I slot print_timing: id  3 | task 58349 |    graphs reused =      61400
22.13.427.996 I slot      release: id  3 | task 58349 | stop processing: n_tokens = 44640, truncated = 0
22.13.540.782 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, sim_best = 0.920 (> 0.100 thold), f_keep = 0.920
22.13.541.145 I slot launch_slot_: id  3 | task 61941 | processing task, is_child = 0
22.17.071.973 I slot print_timing: id  3 | task 61941 | prompt eval time =    2412.68 ms /  3627 tokens (    0.67 ms per token,  1503.31 tokens per second)
22.17.071.976 I slot print_timing: id  3 | task 61941 |        eval time =    1117.89 ms /    70 tokens (   15.97 ms per token,    62.62 tokens per second)
22.17.071.976 I slot print_timing: id  3 | task 61941 |       total time =    3530.57 ms /  3697 tokens
22.17.071.977 I slot print_timing: id  3 | task 61941 |    graphs reused =      61468
22.17.072.735 I slot      release: id  3 | task 61941 | stop processing: n_tokens = 44716, truncated = 0
22.17.153.617 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, sim_best = 0.998 (> 0.100 thold), f_keep = 0.998
22.17.153.940 I slot launch_slot_: id  3 | task 62016 | processing task, is_child = 0
22.19.546.627 I slot print_timing: id  3 | task 62016 | prompt eval time =     286.81 ms /   148 tokens (    1.94 ms per token,   516.02 tokens per second)
22.19.546.630 I slot print_timing: id  3 | task 62016 |        eval time =    2105.66 ms /   131 tokens (   16.07 ms per token,    62.21 tokens per second)
22.19.546.631 I slot print_timing: id  3 | task 62016 |       total time =    2392.47 ms /   279 tokens
22.19.546.632 I slot print_timing: id  3 | task 62016 |    graphs reused =      61596
22.19.547.369 I slot      release: id  3 | task 62016 | stop processing: n_tokens = 44884, truncated = 0
22.19.955.313 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, sim_best = 0.975 (> 0.100 thold), f_keep = 0.997
22.19.955.740 I slot launch_slot_: id  3 | task 62150 | processing task, is_child = 0
22.23.844.698 I slot print_timing: id  3 | task 62150 | n_decoded =    186, tg =  61.99 t/s, tg_3s =  61.99 t/s
22.26.848.257 I slot print_timing: id  3 | task 62150 | n_decoded =    370, tg =  61.63 t/s, tg_3s =  61.26 t/s
22.28.710.586 I slot print_timing: id  3 | task 62150 | prompt eval time =     888.38 ms /  1177 tokens (    0.75 ms per token,  1324.88 tokens per second)
22.28.710.589 I slot print_timing: id  3 | task 62150 |        eval time =    7866.23 ms /   484 tokens (   16.25 ms per token,    61.53 tokens per second)
22.28.710.589 I slot print_timing: id  3 | task 62150 |       total time =    8754.61 ms /  1661 tokens
22.28.710.591 I slot print_timing: id  3 | task 62150 |    graphs reused =      62076
22.28.711.361 I slot      release: id  3 | task 62150 | stop processing: n_tokens = 46366, truncated = 0
22.28.794.624 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, sim_best = 0.988 (> 0.100 thold), f_keep = 0.990
22.28.794.960 I slot launch_slot_: id  3 | task 62638 | processing task, is_child = 0
22.31.330.074 I slot print_timing: id  3 | task 62638 | prompt eval time =    1197.79 ms /  1598 tokens (    0.75 ms per token,  1334.12 tokens per second)
22.31.330.077 I slot print_timing: id  3 | task 62638 |        eval time =    1337.08 ms /    83 tokens (   16.11 ms per token,    62.08 tokens per second)
22.31.330.078 I slot print_timing: id  3 | task 62638 |       total time =    2534.87 ms /  1681 tokens
22.31.330.079 I slot print_timing: id  3 | task 62638 |    graphs reused =      62157
22.31.330.842 I slot      release: id  3 | task 62638 | stop processing: n_tokens = 46506, truncated = 0
22.31.415.970 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, sim_best = 0.964 (> 0.100 thold), f_keep = 0.998
22.31.416.318 I slot launch_slot_: id  3 | task 62725 | processing task, is_child = 0
22.35.919.219 I slot print_timing: id  3 | task 62725 | n_decoded =    184, tg =  61.29 t/s, tg_3s =  61.29 t/s
22.38.929.519 I slot print_timing: id  3 | task 62725 | n_decoded =    367, tg =  61.04 t/s, tg_3s =  60.79 t/s
22.41.941.464 I slot print_timing: id  3 | task 62725 | n_decoded =    550, tg =  60.95 t/s, tg_3s =  60.76 t/s
22.44.952.244 I slot print_timing: id  3 | task 62725 | n_decoded =    733, tg =  60.90 t/s, tg_3s =  60.78 t/s
22.47.960.800 I slot print_timing: id  3 | task 62725 | n_decoded =    916, tg =  60.89 t/s, tg_3s =  60.83 t/s
22.50.973.830 I slot print_timing: id  3 | task 62725 | n_decoded =   1099, tg =  60.86 t/s, tg_3s =  60.74 t/s
22.53.990.226 I slot print_timing: id  3 | task 62725 | n_decoded =   1281, tg =  60.79 t/s, tg_3s =  60.34 t/s
22.56.706.375 I slot print_timing: id  3 | task 62725 | prompt eval time =    1500.54 ms /  1886 tokens (    0.80 ms per token,  1256.89 tokens per second)
22.56.706.378 I slot print_timing: id  3 | task 62725 |        eval time =   23789.30 ms /  1445 tokens (   16.46 ms per token,    60.74 tokens per second)
22.56.706.378 I slot print_timing: id  3 | task 62725 |       total time =   25289.84 ms /  3331 tokens
22.56.706.379 I slot print_timing: id  3 | task 62725 |    graphs reused =      63595
22.56.707.154 I slot      release: id  3 | task 62725 | stop processing: n_tokens = 49584, truncated = 0
22.56.820.806 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, sim_best = 0.991 (> 0.100 thold), f_keep = 0.971
22.56.821.145 I slot launch_slot_: id  3 | task 64174 | processing task, is_child = 0
23.01.245.852 I slot print_timing: id  3 | task 64174 | n_decoded =    183, tg =  60.93 t/s, tg_3s =  60.93 t/s
23.04.259.459 I slot print_timing: id  3 | task 64174 | n_decoded =    366, tg =  60.82 t/s, tg_3s =  60.72 t/s
23.07.269.671 I slot print_timing: id  3 | task 64174 | n_decoded =    549, tg =  60.81 t/s, tg_3s =  60.79 t/s
